"","simulation","ARI","method"
"1","sim1",0.994144342730412,"scSpace"
"2","sim1",0.450127550557247,"louvain"
"3","sim1",0.444994061378002,"kmeans"
"4","sim1",0.882411348855258,"hclust"
"5","sim1",0.53809971106966,"scCoGAPS"
"6","sim1",0.918371273078715,"DR.SC"
"7","sim1",0.91528657348757,"BayesSpace"
"8","sim1",0.447656048854412,"SpaGCN"
"9","sim1",0.966043624647546,"STAGATE"
"10","sim2",0.965138328250301,"scSpace"
"11","sim2",0.600817045675751,"louvain"
"12","sim2",0.60508615644587,"kmeans"
"13","sim2",0.698532659996994,"hclust"
"14","sim2",0.410600336632069,"scCoGAPS"
"15","sim2",0.699172189095898,"DR.SC"
"16","sim2",0.841334848525075,"BayesSpace"
"17","sim2",0.268831992748223,"SpaGCN"
"18","sim2",0.66707827774033,"STAGATE"
"19","sim3",0.937955267408249,"scSpace"
"20","sim3",0.846464996407404,"louvain"
"21","sim3",0.736079648000649,"kmeans"
"22","sim3",0.0165392074048302,"hclust"
"23","sim3",0.434672930647401,"scCoGAPS"
"24","sim3",0.571545269035715,"DR.SC"
"25","sim3",0.764314805453772,"BayesSpace"
"26","sim3",0.567076944465474,"SpaGCN"
"27","sim3",0.888418701436005,"STAGATE"
"28","sim4",0.925057009221321,"scSpace"
"29","sim4",0.858417888027171,"louvain"
"30","sim4",0.666939789320758,"kmeans"
"31","sim4",0.45160865293994,"hclust"
"32","sim4",0.685500603559061,"scCoGAPS"
"33","sim4",0.831413383793884,"DR.SC"
"34","sim4",0.841749279946918,"BayesSpace"
"35","sim4",0.707608247853796,"SpaGCN"
"36","sim4",0.791623580367698,"STAGATE"
"37","sim5",0.814876299297238,"scSpace"
"38","sim5",0.645889308158917,"louvain"
"39","sim5",0.646363984231477,"kmeans"
"40","sim5",0.534219773409244,"hclust"
"41","sim5",0.368882820611167,"scCoGAPS"
"42","sim5",0.825314327042351,"DR.SC"
"43","sim5",0.63271617268144,"BayesSpace"
"44","sim5",0.583956405228183,"SpaGCN"
"45","sim5",0.84432848551202,"STAGATE"
"46","sim6",0.849015241465452,"scSpace"
"47","sim6",0.690787369354328,"louvain"
"48","sim6",0.727503924954106,"kmeans"
"49","sim6",0.370805085848061,"hclust"
"50","sim6",0.402698233253371,"scCoGAPS"
"51","sim6",0.837572055998211,"DR.SC"
"52","sim6",0.583600240524651,"BayesSpace"
"53","sim6",0.437803976124597,"SpaGCN"
"54","sim6",0.739304372514421,"STAGATE"
"55","sim7",0.93400312911063,"scSpace"
"56","sim7",0.740706492695671,"louvain"
"57","sim7",0.74596985787082,"kmeans"
"58","sim7",0.768794704067546,"hclust"
"59","sim7",0.770506309337092,"scCoGAPS"
"60","sim7",0.800984609705883,"DR.SC"
"61","sim7",0.743357514097569,"BayesSpace"
"62","sim7",0.641196374809866,"SpaGCN"
"63","sim7",0.770433690089311,"STAGATE"
"64","sim8",0.953508059893697,"scSpace"
"65","sim8",0.872033277221069,"louvain"
"66","sim8",0.818261440808149,"kmeans"
"67","sim8",0.632860853284429,"hclust"
"68","sim8",0.600421845343245,"scCoGAPS"
"69","sim8",0.876030435740626,"DR.SC"
"70","sim8",0.826062154215118,"BayesSpace"
"71","sim8",0.529681272717279,"SpaGCN"
"72","sim8",0.852770427249163,"STAGATE"
"73","sim9",0.866405557105783,"scSpace"
"74","sim9",0.708916590383992,"louvain"
"75","sim9",0.705350902054614,"kmeans"
"76","sim9",0.555698731638165,"hclust"
"77","sim9",0.421909076807827,"scCoGAPS"
"78","sim9",0.578165599582628,"DR.SC"
"79","sim9",0.680969724832463,"BayesSpace"
"80","sim9",0.567390766355834,"SpaGCN"
"81","sim9",0.809373958747099,"STAGATE"
"82","sim10",0.973176268068553,"scSpace"
"83","sim10",0.909520838011201,"louvain"
"84","sim10",0.725169622253436,"kmeans"
"85","sim10",0.299629665919023,"hclust"
"86","sim10",0.541427302634862,"scCoGAPS"
"87","sim10",0.70932253651699,"DR.SC"
"88","sim10",0.563020236356061,"BayesSpace"
"89","sim10",0.557981944116551,"SpaGCN"
"90","sim10",0.81924785438284,"STAGATE"
"91","sim11",0.989290367577499,"scSpace"
"92","sim11",0.521363702428774,"louvain"
"93","sim11",0.484206671278638,"kmeans"
"94","sim11",0.00722345502862516,"hclust"
"95","sim11",0.474892379216853,"scCoGAPS"
"96","sim11",0.87918699062366,"DR.SC"
"97","sim11",0.473016636493212,"BayesSpace"
"98","sim11",0.469077983795007,"SpaGCN"
"99","sim11",0.414272182838361,"STAGATE"
"100","sim12",0.964857157645046,"scSpace"
"101","sim12",0.572130939872471,"louvain"
"102","sim12",0.595728621072723,"kmeans"
"103","sim12",0.620949961100393,"hclust"
"104","sim12",0.537665177704092,"scCoGAPS"
"105","sim12",0.572448854653842,"DR.SC"
"106","sim12",0.402549825229692,"BayesSpace"
"107","sim12",0.371157320803585,"SpaGCN"
"108","sim12",0.377542898742452,"STAGATE"
"109","sim13",0.902772378511968,"scSpace"
"110","sim13",0.65116854566577,"louvain"
"111","sim13",0.419048010720047,"kmeans"
"112","sim13",0.28325013983352,"hclust"
"113","sim13",0.392533489058609,"scCoGAPS"
"114","sim13",0.340810307141965,"DR.SC"
"115","sim13",0.402521655115227,"BayesSpace"
"116","sim13",0.398839846565509,"SpaGCN"
"117","sim13",0.486221471649753,"STAGATE"
"118","sim14",0.940066517007855,"scSpace"
"119","sim14",0.721985222624113,"louvain"
"120","sim14",0.742505661823448,"kmeans"
"121","sim14",0.168008928875293,"hclust"
"122","sim14",0.723962008001436,"scCoGAPS"
"123","sim14",0.768423043012968,"DR.SC"
"124","sim14",0.782029412346874,"BayesSpace"
"125","sim14",0.717375641646717,"SpaGCN"
"126","sim14",0.565062257833229,"STAGATE"
"127","sim15",0.810419106586695,"scSpace"
"128","sim15",0.567078257096469,"louvain"
"129","sim15",0.49338646685376,"kmeans"
"130","sim15",0.299411791005529,"hclust"
"131","sim15",0.427358569646234,"scCoGAPS"
"132","sim15",0.504841066230249,"DR.SC"
"133","sim15",0.462808392002178,"BayesSpace"
"134","sim15",0.455902865347774,"SpaGCN"
"135","sim15",0.493845268107059,"STAGATE"
"136","sim16",0.863427000792721,"scSpace"
"137","sim16",0.608489607911388,"louvain"
"138","sim16",0.614514345295202,"kmeans"
"139","sim16",0.00455304871698735,"hclust"
"140","sim16",0.39847450360946,"scCoGAPS"
"141","sim16",0.226611760544181,"DR.SC"
"142","sim16",0.531950312845432,"BayesSpace"
"143","sim16",0.431308463254843,"SpaGCN"
