"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENC1",2.76676082357383e-130,0.761537311703093,0.991,0.852,6.3948142915262e-126,"Layer3","ENC1"
"HOPX",8.0582189020558e-102,0.786418897892069,0.852,0.51,1.86249613483216e-97,"Layer3","HOPX"
"YWHAH",1.83065251449115e-92,0.527032914109948,0.995,0.924,4.23118715674339e-88,"Layer3","YWHAH"
"CARTPT",9.11653129522865e-73,0.674661698710525,0.382,0.116,2.1071038782662e-68,"Layer3","CARTPT"
"CALB1",9.8632982326773e-66,0.5098523310544,0.334,0.095,2.2797041205187e-61,"Layer3","CALB1"
"NEFL",3.25508429273694e-57,0.524354185129623,0.965,0.804,7.5234763258029e-53,"Layer3","NEFL"
"VSTM2A",5.9552441239832e-57,0.503988623158561,0.539,0.244,1.37643557437624e-52,"Layer3","VSTM2A"
"SNCG",3.75241146284515e-51,0.512942984326868,0.857,0.578,8.672948614074e-47,"Layer3","SNCG"
"NEFM",1.88631270534167e-47,0.602566964301235,0.831,0.571,4.3598345558562e-43,"Layer3","NEFM"
"MALAT1",8.15123204944854e-58,1.44442248363881,0.927,0.931,1.88399426358904e-53,"Layer1","MALAT1"
"COX6C",5.01331602524522e-33,0.84181746073804,0.963,0.978,1.15872773291493e-28,"Layer1","COX6C"
"CST3",2.88716293638976e-29,0.521979776388375,0.993,0.998,6.67309969487764e-25,"Layer1","CST3"
"ACTA2",5.89748921963789e-21,1.11777543951964,0.194,0.056,1.36308668333491e-16,"Layer1","ACTA2"
"MYL9",7.37250571418103e-17,1.24330669391918,0.271,0.121,1.70400724571866e-12,"Layer1","MYL9"
"SLC1A2",2.15523077933248e-13,0.512672167708379,0.853,0.929,4.98138490027116e-09,"Layer1","SLC1A2"
"MGP",7.42413687889423e-13,1.33673252212288,0.509,0.421,1.71594075681882e-08,"Layer1","MGP"
"VIM",3.16164262813109e-11,1.2083205255173,0.473,0.414,7.3075046063994e-07,"Layer1","VIM"
"ATP8",1.12113164978817e-10,0.728460824731428,0.725,0.861,2.59127158215539e-06,"Layer1","ATP8"
"TAGLN",2.64578263747953e-09,1.11758385646024,0.205,0.105,6.11519741000643e-05,"Layer1","TAGLN"
"MT1G",9.65338221351985e-09,1.12178162253189,0.385,0.31,0.000223118623101084,"Layer1","MT1G"
"KRT19",1.07512432122091e-08,0.856601115186588,0.546,0.529,0.00024849348436379,"Layer1","KRT19"
"RELN",1.10115955863052e-07,0.821672470055147,0.132,0.057,0.00254511008786271,"Layer1","RELN"
"HLA-A",3.56147632820855e-07,0.842345398297082,0.531,0.554,0.00823164023738841,"Layer1","HLA-A"
"TPM2",1.97133614522433e-06,0.879738006993463,0.154,0.081,0.04556349232457,"Layer1","TPM2"
"ADAMTS1",1.23553870641793e-05,0.715072169402577,0.103,0.046,0.285570061214375,"Layer1","ADAMTS1"
"SPARC",0.000139398981014361,0.900357402887243,0.425,0.429,1,"Layer1","SPARC"
"AQP4",0.000312411916563738,0.845800153801787,0.436,0.454,1,"Layer1","AQP4"
"ADIRF",0.000818015953925588,0.700836521581155,0.396,0.393,1,"Layer1","ADIRF"
"FLNA",0.000867619139212344,0.592736555474033,0.183,0.13,1,"Layer1","FLNA"
"FABP7",0.00244949129882009,0.753978372730248,0.231,0.191,1,"Layer1","FABP7"
"AEBP1",0.00380259042845253,0.584523426085585,0.165,0.12,1,"Layer1","AEBP1"
