"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcp4",5.52994783265023e-45,2.14650426368579,0.601,0.172,5.64054678930324e-42,"L6","Pcp4"
"X3110035E14Rik",4.01884444373145e-42,1.99229587187926,0.695,0.291,4.09922133260608e-39,"L6","X3110035E14Rik"
"Rprm",3.80508133010825e-21,1.38335707588428,0.646,0.364,3.88118295671041e-18,"L6","Rprm"
"Tle4",9.76359623219227e-19,1.41189787161448,0.525,0.249,9.95886815683612e-16,"L6","Tle4"
"Hpcal4",1.26760659436933e-18,0.717287724339745,0.928,0.736,1.29295872625671e-15,"L6","Hpcal4"
"Arhgap25",2.03071679283173e-16,1.32215638665533,0.422,0.175,2.07133112868836e-13,"L6","Arhgap25"
"Nptx1",3.02285737222327e-16,1.01613067268938,0.691,0.438,3.08331451966773e-13,"L6","Nptx1"
"Ogfrl1",6.30335355817849e-14,0.929101107838621,0.637,0.387,6.42942062934206e-11,"L6","Ogfrl1"
"Garnl3",2.5267891716968e-13,1.46823669830471,0.368,0.17,2.57732495513073e-10,"L6","Garnl3"
"Arc",5.24910445857555e-13,0.938368694033685,0.753,0.574,5.35408654774706e-10,"L6","Arc"
"Slc17a7",9.33369228767695e-12,0.640045149092102,0.839,0.672,9.52036613343049e-09,"L6","Slc17a7"
"Col6a1",1.34832934315239e-11,1.43511676889979,0.341,0.159,1.37529593001543e-08,"L6","Col6a1"
"Pcsk2",1.68230622939461e-11,0.634622280520908,0.812,0.603,1.7159523539825e-08,"L6","Pcsk2"
"Pgm2l1",1.71995381460967e-11,0.632196090642059,0.834,0.647,1.75435289090187e-08,"L6","Pgm2l1"
"Syn1",1.68039771849225e-10,0.666961869836484,0.74,0.568,1.7140056728621e-07,"L6","Syn1"
"Ptk2",2.80486182555293e-09,0.937789176454751,0.448,0.257,2.86095906206399e-06,"L6","Ptk2"
"Klf10",2.85192808382252e-09,0.922365890234871,0.475,0.294,2.90896664549897e-06,"L6","Klf10"
"Arx",3.00366551661635e-09,0.578768261017132,0.776,0.585,3.06373882694868e-06,"L6","Arx"
"Rasgrp1",3.1776179790911e-09,0.770750463889819,0.471,0.267,3.24117033867292e-06,"L6","Rasgrp1"
"Nrp1",5.79254293303199e-09,1.07589974892201,0.274,0.123,5.90839379169263e-06,"L6","Nrp1"
"Snx10",3.07952413188563e-08,0.555726175391807,0.659,0.449,3.14111461452334e-05,"L6","Snx10"
"Cdh18",1.44025276618245e-07,0.994511489935334,0.238,0.106,0.00014690578215061,"L6","Cdh18"
"X1110008P14Rik",1.48387553760045e-07,0.936185225805391,0.408,0.25,0.000151355304835246,"L6","X1110008P14Rik"
"Plcxd3",2.85791361664326e-07,0.987137071844842,0.354,0.2,0.000291507188897612,"L6","Plcxd3"
"Pdlim1",3.49683263388431e-07,1.11310764342433,0.188,0.076,0.000356676928656199,"L6","Pdlim1"
"Fxyd7",3.77057349535427e-07,0.540734574028797,0.691,0.51,0.000384598496526135,"L6","Fxyd7"
"St3gal5",9.810565435207e-07,0.56119788426824,0.65,0.493,0.00100067767439111,"L6","St3gal5"
"Anapc13",1.2468493549096e-06,0.832238722199556,0.395,0.244,0.00127178634200779,"L6","Anapc13"
"Rab26",2.03863279437458e-06,1.08226489770229,0.278,0.155,0.00207940545026207,"L6","Rab26"
"Slc24a2",2.99283467895756e-06,0.54374838398548,0.543,0.387,0.00305269137253671,"L6","Slc24a2"
"Homer1",3.25998016366246e-06,0.676263923446097,0.525,0.36,0.00332517976693571,"L6","Homer1"
"Prkcg",8.39658181897297e-06,0.839148815086928,0.453,0.31,0.00856451345535243,"L6","Prkcg"
"Efr3a",9.34775982027421e-06,0.620615662585939,0.475,0.331,0.00953471501667969,"L6","Efr3a"
"Slc6a15",1.2327177432897e-05,0.596197445876438,0.466,0.315,0.012573720981555,"L6","Slc6a15"
"X1700019D03Rik",2.35699978231705e-05,0.754883195165629,0.336,0.21,0.0240413977796339,"L6","X1700019D03Rik"
"B3galt2",3.78852929036737e-05,0.914312636657826,0.26,0.154,0.0386429987617472,"L6","B3galt2"
"Itm2c",4.6568506095821e-05,0.53073860520468,0.552,0.434,0.0474998762177374,"L6","Itm2c"
"Gria3",0.000105689728680921,0.533071820105523,0.417,0.286,0.107803523254539,"L6","Gria3"
"Pitpnc1",0.000113740426572601,0.503216410606073,0.341,0.214,0.116015235104053,"L6","Pitpnc1"
"Stx1a",0.000121203590704647,0.602892453018783,0.359,0.236,0.12362766251874,"L6","Stx1a"
"Ipcef1",0.000274614470795035,0.713712823938276,0.202,0.112,0.280106760210936,"L6","Ipcef1"
"Slc5a7",0.000413472190189203,0.734668936645479,0.215,0.126,0.421741633992987,"L6","Slc5a7"
"Syt6",0.000492628935010536,0.636619314346107,0.22,0.129,0.502481513710746,"L6","Syt6"
"Ano3",0.000505046325819418,0.62834110694795,0.341,0.239,0.515147252335806,"L6","Ano3"
"Gpr22",0.000551742062243723,0.56825842091206,0.318,0.216,0.562776903488597,"L6","Gpr22"
"Nfia",0.000567165778978726,0.78746456448652,0.184,0.103,0.578509094558301,"L6","Nfia"
"Tbr1",0.00107870041726061,0.67789846002236,0.296,0.203,1,"L6","Tbr1"
"Obox3",0.00114014300069927,0.527086991842171,0.22,0.134,1,"L6","Obox3"
"Idi1",0.00131945900486207,0.618532821972636,0.26,0.167,1,"L6","Idi1"
"Npas4",0.00172380252273486,0.643812408640338,0.287,0.194,1,"L6","Npas4"
"Mmp16",0.00225781853461978,0.662515738626931,0.283,0.2,1,"L6","Mmp16"
"Ctxn3",0.0030870854586583,0.604855223724219,0.229,0.147,1,"L6","Ctxn3"
"Cpne5",0.00565283875270732,0.521274481257476,0.309,0.227,1,"L6","Cpne5"
"Sema3e",0.00576141333421758,0.605043697919634,0.157,0.095,1,"L6","Sema3e"
"Lmo3",0.00618820693736147,0.519275898203543,0.309,0.224,1,"L6","Lmo3"
"Pcdha5",0.00665565532364777,0.608560936580506,0.197,0.133,1,"L6","Pcdha5"
"C730002L08Rik",0.00695294325652162,0.549213967101861,0.175,0.11,1,"L6","C730002L08Rik"
"Efhd2",0.00925386620563434,0.570423288215215,0.242,0.171,1,"L6","Efhd2"
"Nrsn1",7.23906161911071e-44,1.5741536073085,0.845,0.501,7.38384285149292e-41,"L4","Nrsn1"
"Egr1",3.79101225916544e-29,1.41655810728683,0.763,0.455,3.86683250434874e-26,"L4","Egr1"
"Camk2n1",1.28491966384878e-28,0.858983303373438,0.983,0.866,1.31061805712575e-25,"L4","Camk2n1"
"Zmat4",4.38045134032699e-28,1.63294138245761,0.539,0.209,4.46806036713353e-25,"L4","Zmat4"
"Nrep",9.42893292377221e-27,1.50071100124534,0.629,0.312,9.61751158224765e-24,"L4","Nrep"
"Whrn",5.86551694734778e-17,1.37193715632531,0.478,0.227,5.98282728629473e-14,"L4","Whrn"
"Arc1",2.15970340137585e-13,0.63734100855105,0.78,0.566,2.20289746940336e-10,"L4","Arc"
"Mef2c",2.31932305330235e-10,0.821222643919695,0.565,0.374,2.3657095143684e-07,"L4","Mef2c"
"Rorb",4.6325371455539e-10,1.13933628675489,0.358,0.183,4.72518788846497e-07,"L4","Rorb"
"Nrn1",7.73119747920001e-10,0.727398775226397,0.586,0.385,7.88582142878401e-07,"L4","Nrn1"
"Pamr1",9.2201287003694e-10,1.21277954965985,0.194,0.067,9.40453127437679e-07,"L4","Pamr1"
"Cux2",1.18749980703972e-08,0.742381384763552,0.5,0.308,1.21124980318052e-05,"L4","Cux2"
"Nell1",2.05438835008246e-08,0.93158053724283,0.552,0.388,2.09547611708411e-05,"L4","Nell1"
"Snca",7.64163613941064e-08,0.61445017167414,0.694,0.555,7.79446886219885e-05,"L4","Snca"
"Nudt4",8.11865848700165e-08,0.745260213807436,0.44,0.269,8.28103165674168e-05,"L4","Nudt4"
"Epha4",9.40472428463228e-08,0.81149372803082,0.487,0.33,9.59281877032493e-05,"L4","Epha4"
"Egr3",2.10853483874152e-07,0.686254813851037,0.565,0.396,0.000215070553551635,"L4","Egr3"
"Ralyl",2.83345866174247e-07,0.671073314641947,0.5,0.348,0.000289012783497732,"L4","Ralyl"
"Btbd3",4.59918275675397e-07,0.891226896514263,0.388,0.244,0.000469116641188905,"L4","Btbd3"
"Osbpl1a",4.70814923537492e-07,0.781124551622579,0.384,0.238,0.000480231222008242,"L4","Osbpl1a"
"Arpp21",8.47634052316421e-07,0.700300624929771,0.642,0.529,0.00086458673336275,"L4","Arpp21"
"X2900055J20Rik",9.13626416089784e-07,0.763543290505279,0.453,0.302,0.00093189894441158,"L4","X2900055J20Rik"
"Plcxd2",1.23530726556292e-06,1.05344946197166,0.19,0.084,0.00126001341087418,"L4","Plcxd2"
"Satb2",1.75471539640686e-06,0.738125687267868,0.491,0.339,0.00178980970433499,"L4","Satb2"
"Grik1",7.60301404609683e-06,1.01866392286873,0.237,0.124,0.00775507432701877,"L4","Grik1"
"Nr4a1",8.06710506740604e-06,0.650611921038291,0.496,0.348,0.00822844716875416,"L4","Nr4a1"
"Cpne9",1.68912386437158e-05,0.983244830505565,0.25,0.144,0.0172290634165901,"L4","Cpne9"
"Foxp1",4.62596562247274e-05,0.784650175799453,0.28,0.165,0.047184849349222,"L4","Foxp1"
"Spock3",5.00162465789816e-05,0.84420553134671,0.216,0.117,0.0510165715105612,"L4","Spock3"
"Gfra2",8.80374892725387e-05,0.726605862558507,0.405,0.297,0.0897982390579895,"L4","Gfra2"
"Egr2",9.57025671190647e-05,0.662484941475747,0.31,0.197,0.097616618461446,"L4","Egr2"
"Vgf",0.000137765381294501,0.557640618124698,0.47,0.344,0.140520688920391,"L4","Vgf"
"Fam19a2",0.000194078982778318,0.638680963937566,0.353,0.235,0.197960562433885,"L4","Fam19a2"
"Rit2",0.000264442979414777,0.598366508504173,0.384,0.279,0.269731839003072,"L4","Rit2"
"Syndig1",0.000344745093464633,0.596899732604372,0.284,0.182,0.351639995333926,"L4","Syndig1"
"S100a10",0.0004371251574989,0.627061001736399,0.267,0.175,0.445867660648878,"L4","S100a10"
"Hnrnph2",0.000677447555387016,0.532987048269152,0.392,0.287,0.690996506494757,"L4","Hnrnph2"
"Nos1",0.000765474268739021,0.667445133473259,0.207,0.124,0.780783754113802,"L4","Nos1"
"Dusp14",0.000811181823189736,0.711602550152013,0.25,0.165,0.827405459653531,"L4","Dusp14"
"Hmgcr",0.0016904440648399,0.521995905746759,0.366,0.27,1,"L4","Hmgcr"
"Cbln4",0.00178968993807231,0.66977878962358,0.177,0.105,1,"L4","Cbln4"
"Cnih3",0.00182574750106368,0.514114838915157,0.345,0.253,1,"L4","Cnih3"
"Rgs4",0.00201388656734114,0.513524893777207,0.384,0.288,1,"L4","Rgs4"
"Chrm2",0.0029992796940059,0.513149812906267,0.267,0.181,1,"L4","Chrm2"
"Fbxo11",0.00358487644903016,0.581720980312428,0.233,0.156,1,"L4","Fbxo11"
