"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MYH7",0,5.22943803816595,0.985,0.264,0,"3","MYH7"
"SORBS2",0,3.31909947156755,0.998,0.229,0,"3","SORBS2"
"SLC8A1",0,2.85660798382926,0.996,0.191,0,"3","SLC8A1"
"TTN",0,2.77868303022084,0.998,0.094,0,"3","TTN"
"ANKRD1",0,2.74602685943038,0.878,0.107,0,"3","ANKRD1"
"NEBL",0,2.67430650463627,1,0.13,0,"3","NEBL"
"CTD-2545M3.8",0,2.60934554571769,0.99,0.113,0,"3","CTD-2545M3.8"
"HSPB7",0,2.56097870450976,0.998,0.29,0,"3","HSPB7"
"FABP3",0,2.50911120243526,0.996,0.233,0,"3","FABP3"
"ACTN2",0,2.43742936605581,0.979,0.127,0,"3","ACTN2"
"SMPX",0,2.41528628501907,0.992,0.173,0,"3","SMPX"
"MYBPC3",0,2.34336280669256,0.981,0.097,0,"3","MYBPC3"
"LDB3",0,2.29897664991854,0.985,0.101,0,"3","LDB3"
"MYOM1",0,2.23060686240924,0.979,0.074,0,"3","MYOM1"
"SH3BGR",0,2.22052765856846,0.994,0.251,0,"3","SH3BGR"
"ENO3",0,2.18824129398863,0.969,0.181,0,"3","ENO3"
"HSPB3",0,2.09183647082384,0.958,0.125,0,"3","HSPB3"
"POPDC2",0,2.05676530413798,0.973,0.11,0,"3","POPDC2"
"BANCR",0,2.01151272247462,0.706,0.064,0,"3","BANCR"
"MB",0,1.91924944894457,0.897,0.127,0,"3","MB"
"CKM",0,1.90881678352838,0.899,0.131,0,"3","CKM"
"MYOZ2",0,1.84580794708583,0.969,0.142,0,"3","MYOZ2"
"SMYD1",0,1.82767005657517,0.897,0.066,0,"3","SMYD1"
"FITM1",0,1.79673585083142,0.952,0.147,0,"3","FITM1"
"PGAM2",0,1.77356448944322,0.973,0.148,0,"3","PGAM2"
"HACD1",0,1.72977397362872,0.956,0.188,0,"3","HACD1"
"RRAD",0,1.71755876143267,0.885,0.088,0,"3","RRAD"
"NKX2-5",0,1.67185096823262,0.954,0.104,0,"3","NKX2-5"
"FGF12",0,1.58547510053031,0.822,0.078,0,"3","FGF12"
"COX6A2",0,1.57716016628657,0.784,0.086,0,"3","COX6A2"
"SYNPO2L",0,1.53873262769909,0.845,0.061,0,"3","SYNPO2L"
"MYH7B",0,1.51465089819876,0.849,0.049,0,"3","MYH7B"
"RYR2",0,1.46876138218491,0.897,0.099,0,"3","RYR2"
"XIRP1",0,1.40352656781395,0.776,0.031,0,"3","XIRP1"
"LAD1",0,1.3885708234644,0.887,0.091,0,"3","LAD1"
"PKP2",0,1.37293729891026,0.832,0.123,0,"3","PKP2"
"MTUS2",0,1.36843459379021,0.839,0.076,0,"3","MTUS2"
"SNTA1",0,1.35322212402301,0.864,0.127,0,"3","SNTA1"
"LMO7",0,1.32272076487296,0.874,0.137,0,"3","LMO7"
"UNC45B",0,1.29082290848724,0.792,0.056,0,"3","UNC45B"
"TCEA3",0,1.26078121185903,0.86,0.1,0,"3","TCEA3"
"RBM20",0,1.2344999917665,0.786,0.056,0,"3","RBM20"
"ITGB1BP2",0,1.22137595865177,0.813,0.077,0,"3","ITGB1BP2"
"TRDN",0,1.20534348355743,0.788,0.061,0,"3","TRDN"
"TRIM55",0,1.2001426272826,0.803,0.072,0,"3","TRIM55"
"APOBEC2",0,1.19433732827651,0.757,0.065,0,"3","APOBEC2"
"LMOD2",0,1.17685005186835,0.709,0.033,0,"3","LMOD2"
"RBM24",0,1.15265050187809,0.78,0.064,0,"3","RBM24"
"BVES",0,1.1062433175519,0.69,0.051,0,"3","BVES"
"CASQ2",0,1.09424424176212,0.621,0.032,0,"3","CASQ2"
"TRIM63",0,0.987068979808206,0.69,0.042,0,"3","TRIM63"
"CORIN",0,0.981260331029719,0.688,0.053,0,"3","CORIN"
"ALPK2",0,0.910081911235148,0.667,0.032,0,"3","ALPK2"
"CASZ1",0,0.814094270968077,0.608,0.03,0,"3","CASZ1"
"B4GALNT3",0,0.755646521139136,0.591,0.029,0,"3","B4GALNT3"
"IRX4",0,0.74993034408605,0.522,0.007,0,"3","IRX4"
"CSRP3",1.10764955522831e-304,2.70265548638068,1,0.267,1.69725141347634e-300,"3","CSRP3"
"PLN",1.21607145641458e-304,2.59489034931589,0.977,0.233,1.86338629266406e-300,"3","PLN"
"MYLK3",1.38677185560889e-301,0.982317490670183,0.713,0.065,2.1249505143495e-297,"3","MYLK3"
"TCAP",1.42659142798462e-300,1.87488007710996,0.889,0.147,2.18596604510083e-296,"3","TCAP"
"MYOCD",1.00741523886931e-298,1.00176057009041,0.7,0.063,1.54366237051944e-294,"3","MYOCD"
"SLC27A6",1.13583695343283e-296,0.843576844454093,0.545,0.026,1.74044296374513e-292,"3","SLC27A6"
"ADPRHL1",1.46507868141216e-295,1.02434266161805,0.719,0.069,2.24494006352786e-291,"3","ADPRHL1"
"FGF18",4.7170128252235e-290,0.781729833701899,0.501,0.018,7.22787875208997e-286,"3","FGF18"
"TNNI3",6.70533529375322e-289,3.25326056680614,0.99,0.353,1.02745852706181e-284,"3","TNNI3"
"COBL",1.96769825782197e-286,0.754649495794119,0.526,0.023,3.0151040404606e-282,"3","COBL"
"AKAP6",2.06592752188928e-286,0.747629111210941,0.528,0.025,3.16562074179094e-282,"3","AKAP6"
"PDLIM5",4.49723373517552e-286,2.11430145340228,0.994,0.35,6.89111125240945e-282,"3","PDLIM5"
"RNF207",4.15258346614989e-285,1.30132222668638,0.851,0.14,6.36300364518148e-281,"3","RNF207"
"MITF",3.63506843338228e-283,1.14938440423112,0.771,0.101,5.57001536047167e-279,"3","MITF"
"SLC4A3",4.4487564913557e-282,0.829946477376853,0.618,0.048,6.81682957170434e-278,"3","SLC4A3"
"CKMT2",2.77366867645923e-281,0.861173807136424,0.621,0.047,4.25009251293848e-277,"3","CKMT2"
"DSP",7.34944777875959e-281,1.26375756531912,0.857,0.153,1.12615588313933e-276,"3","DSP"
"BMP7",7.04128835020842e-280,0.819522337185695,0.583,0.038,1.07893661390244e-275,"3","BMP7"
"WNK2",1.00858103404215e-279,0.736597395941651,0.56,0.033,1.54544871846279e-275,"3","WNK2"
"PDE4DIP",6.97258623216332e-277,1.11530359519385,0.801,0.119,1.06840938835439e-272,"3","PDE4DIP"
"ASB2",6.79145487762222e-272,0.771128681325067,0.549,0.032,1.04065463089805e-267,"3","ASB2"
"FLNC",3.6750577343368e-270,1.22192314349072,0.872,0.168,5.63129096632428e-266,"3","FLNC"
