"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ORC4",1.5817097339218e-52,-0.812979556060703,1,1,2.16504428379216e-48,"ORC4"
"ORAI2",7.9434533619624e-52,-0.844376314409816,0.983,1,1.08729989618541e-47,"ORAI2"
"GATD1",1.55936284279075e-51,-0.841078931412256,1,0.996,2.13445585921198e-47,"GATD1"
"ODF2L",4.70263549187197e-51,-0.809619515005783,1,1,6.43696746127435e-47,"ODF2L"
"MALAT1",7.83227569239296e-51,-0.769337113040993,1,1,1.07208189677475e-46,"MALAT1"
"CYP20A1",1.34503355309262e-50,-0.899199690128178,0.983,1,1.84108192747318e-46,"CYP20A1"
"L2HGDH",3.41034954566042e-49,-0.863671585245947,0.974,0.992,4.66808645809998e-45,"L2HGDH"
"EEF1A1",7.68890731315659e-49,-0.65308162363005,1,1,1.05245763302487e-44,"EEF1A1"
"ZNF793",9.33337770352856e-49,-0.922982799824595,0.957,0.988,1.27755274005899e-44,"ZNF793"
"ZBTB8A",9.71039421501285e-49,-0.897667474919446,0.983,0.984,1.32915876015096e-44,"ZBTB8A"
"METTL21A",2.21479156992819e-48,-0.77079384100378,0.991,0.984,3.03160670091771e-44,"METTL21A"
"ABCC9",2.35471626934138e-48,-0.929821387156252,0.965,0.984,3.22313562947448e-44,"ABCC9"
"XPNPEP3",6.2461855206814e-48,-0.889848481046186,0.965,0.984,8.54977874070871e-44,"XPNPEP3"
"NMNAT1",8.31119526970022e-48,-0.897382534199085,0.974,0.98,1.13763640851657e-43,"NMNAT1"
"RBMS2",9.05278619956713e-48,-0.936415308194879,0.983,0.984,1.23914537499675e-43,"RBMS2"
"DFFA",1.23177942026729e-47,-0.831646219151772,0.965,0.988,1.68605967046187e-43,"DFFA"
"PRR11",2.01637320604217e-47,-0.77937591606046,0.983,0.992,2.76001164443053e-43,"PRR11"
"RPS27",2.04785238127265e-47,-0.683495400821484,1,0.996,2.803100339486e-43,"RPS27"
"MTRNR2L8",2.04785238127265e-47,-0.596711815448502,1,1,2.803100339486e-43,"MTRNR2L8"
"TLCD2",2.22601968962943e-47,-0.9024066750867,0.974,0.98,3.04697575116476e-43,"TLCD2"
"MTRNR2L1",3.00580526343131e-47,-0.602363478313654,1,1,4.11434624458478e-43,"MTRNR2L1"
"B2M",4.2108888412708e-47,-0.617339909136265,1,1,5.76386464593147e-43,"B2M"
"LPP",4.61592283516132e-47,-0.918446581419564,0.983,1,6.31827517676881e-43,"LPP"
"RPL13",7.24656964454762e-47,-0.727150898378566,0.991,0.996,9.91910452945678e-43,"RPL13"
"RPL10",9.46532637044393e-47,-0.674451346067098,1,0.996,1.29561387358636e-42,"RPL10"
"TMSB4X",1.13655734722701e-46,-0.612838397446258,1,1,1.55571969688433e-42,"TMSB4X"
"CFLAR",1.26446967727927e-46,-0.706563223397537,1,1,1.73080609425987e-42,"CFLAR"
"RPS25",2.96190611219137e-46,-0.672282685295894,1,0.988,4.05425708636754e-42,"RPS25"
"MBOAT1",5.49695860223536e-46,-0.85002320289679,0.957,0.976,7.52423693473976e-42,"MBOAT1"
"SCD5",6.28012714067719e-46,-0.917231691336904,0.93,0.976,8.59623803015893e-42,"SCD5"
"RPS3",8.16399846885091e-46,-0.657092511343115,1,0.996,1.11748811041631e-41,"RPS3"
"CCDC142",8.52965425328797e-46,-0.857988490542647,0.974,0.976,1.16753907419006e-41,"CCDC142"
"CHP1",1.12063507669205e-45,-0.664271459765199,0.991,1,1.53392529297608e-41,"CHP1"
"TRAPPC2",1.6041952517189e-45,-0.841393154362416,0.965,0.972,2.19582246055283e-41,"TRAPPC2"
"IRGQ",1.75965112826174e-45,-0.863435134742928,0.983,0.984,2.40861046436468e-41,"IRGQ"
"POLH",2.91121961502714e-45,-0.826811044280844,0.974,0.996,3.98487740904915e-41,"POLH"
"HLA-C",3.51175724211517e-45,-0.59949281600598,1,0.996,4.80689331300724e-41,"HLA-C"
"RPL3",6.88507207055966e-45,-0.64754952093931,1,0.988,9.42428665018206e-41,"RPL3"
"FBLIM1",8.57618665837159e-45,-0.831586962672581,0.957,0.968,1.1739084297979e-40,"FBLIM1"
"TNFAIP8L1",1.3244611021722e-44,-0.839261309356029,0.983,0.968,1.8129223566533e-40,"TNFAIP8L1"
"RPL9",3.35643499958527e-44,-0.650182743676246,0.991,0.98,4.59428822743231e-40,"RPL9"
"ZNF850",3.46165474332175e-44,-0.983727435130879,0.939,0.968,4.73831301265881e-40,"ZNF850"
"RUNDC1",3.86204417316012e-44,-0.985721367227563,0.913,0.96,5.28636606422157e-40,"RUNDC1"
"TRAF3IP2",3.88087225558135e-44,-0.869675104655531,0.974,0.964,5.31213794343975e-40,"TRAF3IP2"
"RPS14",5.67759992603741e-44,-0.644848793441152,1,0.984,7.77149877876e-40,"RPS14"
"C17orf75",6.08121945228498e-44,-0.892855621443126,0.948,0.968,8.32397318628768e-40,"C17orf75"
"XIAP",6.36355214228257e-44,-0.902480132982612,0.948,0.972,8.71043017235638e-40,"XIAP"
"RPL28",1.27789029249422e-43,-0.672149931255217,1,0.992,1.74917623236608e-39,"RPL28"
"TAF8",1.8286294118762e-43,-0.83282754616141,0.974,0.972,2.50302793897614e-39,"TAF8"
"GNE",2.26366782402584e-43,-0.857500147664974,0.974,0.976,3.09850851752658e-39,"GNE"
"RPS6",2.33377456663737e-43,-0.631493693302244,1,0.98,3.19447062681323e-39,"RPS6"
"HLA-B",3.27015855471975e-43,-0.568719888622545,1,0.988,4.4761930297004e-39,"HLA-B"
"RPS3A",4.07238805661103e-43,-0.639949549731357,0.991,0.984,5.57428477188918e-39,"RPS3A"
"TOR1AIP2",4.38138831240599e-43,-0.78429694402099,0.974,0.992,5.99724432202132e-39,"TOR1AIP2"
"RPL17",5.22146898257278e-43,-0.632053802936437,1,0.98,7.14714674334563e-39,"RPL17"
"RPLP1",8.70300036723882e-43,-0.58259955886581,1,0.988,1.19126669026765e-38,"RPLP1"
"CHST6",1.04634773023329e-42,-0.919954590779161,0.948,0.968,1.43224077314332e-38,"CHST6"
"PLCXD1",1.17868928664873e-42,-0.87494385736958,0.957,0.976,1.61338989556479e-38,"PLCXD1"
"RPS12",1.9079081425124e-42,-0.644040864476399,1,0.976,2.61154466547097e-38,"RPS12"
"RPL19",2.58704790758205e-42,-0.617643728215414,1,0.976,3.54115117589831e-38,"RPL19"
"ACTB",2.90602269303961e-42,-0.525128074963332,1,0.996,3.97776386223261e-38,"ACTB"
"GPR82",7.11562838796117e-42,-0.942678089571058,0.904,0.945,9.73987213744124e-38,"GPR82"
"RPS11",9.0869124299254e-42,-0.625220699171948,1,0.976,1.24381657340819e-37,"RPS11"
"RPL23A",1.04904742270663e-41,-0.621729049636049,1,0.972,1.43593611220083e-37,"RPL23A"
"TAPBP",1.19468900934363e-41,-0.611036230983571,1,0.996,1.63529031598956e-37,"TAPBP"
"PNPO",1.22193023173149e-41,-0.804643495408144,0.965,0.957,1.67257810119406e-37,"PNPO"
"RPL15",1.26536491167653e-41,-0.59870535676228,1,1,1.73203149110283e-37,"RPL15"
"IRF1",1.45884445131085e-41,-0.718777541311121,0.965,0.98,1.9968662849543e-37,"IRF1"
"PPM1K",2.17725389740986e-41,-0.823471108733102,0.974,0.968,2.98022513477461e-37,"PPM1K"
"ZNF264",2.66586416460914e-41,-0.903160065345576,0.983,0.984,3.64903486851698e-37,"ZNF264"
"TK1",3.05942486776819e-41,1.5785225711359,0.609,0.004,4.1877407590011e-37,"TK1"
"TYMS",3.11621137242011e-41,1.61164914236641,0.617,0.008,4.26547012656865e-37,"TYMS"
"RPLP2",5.51466526865459e-41,-0.621781991334704,1,0.96,7.5484738197344e-37,"RPLP2"
"RPS19",5.76236460014078e-41,-0.619710691583341,1,0.972,7.8875246646727e-37,"RPS19"
"RPL18A",6.36657390363752e-41,-0.629370380954414,0.991,0.976,8.71456635929904e-37,"RPL18A"
"RPS18",6.93434700115607e-41,-0.606675858669805,1,0.972,9.49173417518242e-37,"RPS18"
"OPHN1",7.64706127730483e-41,-0.801518559148651,0.983,0.964,1.04672974763749e-36,"OPHN1"
"AP4S1",1.17005752344854e-40,-0.874840774914938,0.939,0.957,1.60157473809636e-36,"AP4S1"
"VHL",1.46423123823689e-40,-0.871820294334303,0.957,0.96,2.00423971889865e-36,"VHL"
"RPL32",2.34613180019175e-40,-0.653191927374585,1,0.96,3.21138520810247e-36,"RPL32"
"SPC25",2.52729768948325e-40,-0.697361476928194,0.965,0.941,3.45936507736467e-36,"SPC25"
"RPL11",2.6674890073849e-40,-0.614884120342341,1,0.972,3.65125895330845e-36,"RPL11"
"LMNB1",5.08984061207509e-40,1.32710704845984,0.73,0.047,6.96697382980839e-36,"LMNB1"
"PNPT1",6.76123706755327e-40,-0.789131025104225,0.983,0.98,9.25478129806692e-36,"PNPT1"
"FKBP14",6.88696726475568e-40,-0.988570936364971,0.913,0.945,9.42688079199758e-36,"FKBP14"
"RPS20",7.46007503068174e-40,-0.614242666968528,1,0.972,1.02113507019972e-35,"RPS20"
"PXMP4",8.6226103378212e-40,-0.890116585013432,0.948,0.953,1.18026290304097e-35,"PXMP4"
"RPS27A",8.74613395625264e-40,-0.620478953608814,0.991,0.957,1.19717081593186e-35,"RPS27A"
"RPS29",1.07262957943482e-39,-0.642523113798054,1,0.957,1.46821536833038e-35,"RPS29"
"RPL7",1.28877577151398e-39,-0.618800060144171,1,0.968,1.76407627604833e-35,"RPL7"
"CCL5",1.46309753641508e-39,-0.62472899361273,1,0.992,2.00268790784497e-35,"CCL5"
"SMC2",1.48750414781231e-39,1.21323565460199,0.73,0.047,2.03609567752549e-35,"SMC2"
"LYRM7",1.8144675152899e-39,-0.85464308496096,0.939,0.96,2.48364313492882e-35,"LYRM7"
"RPL30",2.95315016679027e-39,-0.624838037945499,0.991,0.957,4.04227194830252e-35,"RPL30"
"RAMP2-AS1",4.07966660214431e-39,-0.8965838545455,0.939,0.937,5.58424764501514e-35,"RAMP2-AS1"
"HLA-A",4.78717553637124e-39,-0.541311487323154,1,0.984,6.55268587418495e-35,"HLA-A"
"RPL31",5.64660814945535e-39,-0.592378859494531,1,0.96,7.72907723497448e-35,"RPL31"
"ZWINT",6.16260206561851e-39,1.43082728263722,0.626,0.016,8.43536970741861e-35,"ZWINT"
"MTRNR2L6",6.99304403398936e-39,-0.557993969598134,0.991,0.957,9.57207867372463e-35,"MTRNR2L6"
"RPS8",9.30218015701028e-39,-0.578025675192789,1,0.96,1.27328241989157e-34,"RPS8"
"SMYD4",1.3686603417547e-38,-0.925783326844965,0.904,0.949,1.87342227579383e-34,"SMYD4"
"RPS15",1.57306799889489e-38,-0.607929955797573,1,0.96,2.15321547688732e-34,"RPS15"
"RPS15A",1.78189894285377e-38,-0.616971750264328,1,0.964,2.43906327297824e-34,"RPS15A"
"PTPRC",2.07507901924317e-38,-0.657440126519283,1,0.972,2.84036816154004e-34,"PTPRC"
