"","B.cell","c1","c2","c3","c4","c5","CAF","Endo","Macro","malignant","NK","xcoord","ycoord"
"spot_1",0.0975545976880345,0.000116885179256444,0.000116885179256427,0.000116885179256447,0.000116885179256447,0.237577059729338,0.0928219112473676,0.0481098788976618,0.117239544452951,0.406112582088365,0.000116885179256448,7,15
"spot_2",0.000107976985482558,0.000107976985482559,0.0605253629987663,0.000107976985482558,0.000107976985482556,0.000114606901158605,0.229190040175754,0.0541334201045022,0.206512906794507,0.24608398771413,0.203007767369252,7,16
"spot_3",0.145465107632115,0.000122646672137592,0.020345205111304,0.000122646672137575,0.000122646672137559,0.013283494908666,0.270132746983948,0.0338871700110226,0.136173010630771,0.380222678033622,0.000122646672137563,7,17
"spot_4",0.0897527490095013,0.00819170120695602,8.36577968853153e-05,8.36577968853268e-05,8.36577968853263e-05,0.0916364541102028,0.0489777917137423,0.0310206452821341,0.0913975261637281,0.638688501326194,8.36577968853123e-05,7,18
"spot_5",0.193601765258413,0.000100285130464915,0.000100285130464912,0.000100285130464917,0.000100285130464914,0.115014347068054,0.232670425660222,0.0640745247111068,0.000109433396006029,0.34651818276157,0.0476101806227682,8,13
"spot_6",0.041066133854023,0.0468715401997299,0.000165840105092101,0.0001658401050921,0.000165840105092104,0.221039374598635,0.138877592107969,0.0545745777592255,0.202087417290934,0.281790738379516,0.0131951054946921,8,14
"spot_7",0.0154988865619884,0.000118379759976513,0.000118379759976511,0.00011837975997651,0.000118379759976535,0.193396773516619,0.19350554409611,0.0250291768853884,0.233655833808966,0.331068813215993,0.00737145287502961,8,15
"spot_8",0.0954782874258708,0.102388207123608,6.88009776417575e-05,6.88009776417504e-05,0.0770479609840073,6.8800977641746e-05,0.179879043906871,0.00434845374269698,0.0574576586217994,0.453480067372789,0.0297139178894332,8,16
"spot_9",0.308234301336968,0.000196023675373974,0.0626540930586289,0.000196023675373972,0.000196023675373974,0.274865068256053,0.170165692614285,0.0363964250044794,0.146704301352716,0.000196023675373972,0.000196023675373982,8,17
"spot_10",0.0623841360675026,0.000156881228522323,0.000156881228522295,0.000156881228522311,0.000156881228522324,0.187935770102171,0.255289587129356,0.074374903837827,0.149587054298479,0.251675262906721,0.0181257607438542,8,18
"spot_11",0.0605976981122595,8.20109841411836e-05,8.20109841411803e-05,8.2010984141332e-05,8.20109841412647e-05,8.20109841411771e-05,0.131406179485745,0.110374992840731,0.0907572007336334,0.595846537206404,0.0106073367005219,8,19
"spot_12",0.0852217184305337,0.000227054584701308,0.0677263510424698,0.000227054584701319,0.0383630478376856,0.251052487879229,0.189470036702254,0.112406949833115,0.180082148005332,0.068457885038846,0.00676526606113245,9,13
"spot_13",0.0751574704846812,0.0587883659257548,0.0208128526398942,0.044907073581063,0.000250719107152273,0.187103041404443,0.206347889814928,0.0907748560138002,0.208479970892711,0.0878629997642315,0.0195147603713422,9,14
"spot_14",0.111047846721196,0.000183165838155863,0.000183165838155859,0.000183165838155863,0.0032399409645511,0.324312049950839,0.0906936529014853,0.0183937427912774,0.168462880082744,0.283117223235284,0.000183165838155863,9,15
