"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"F13A1",2.00682292198383e-63,2.09558296601391,0.603,0.145,6.93277046628533e-59,"C_1","F13A1"
"RBPJ",1.02990114483281e-30,0.983292263542195,0.736,0.515,3.55789649493942e-26,"C_1","RBPJ"
"CD163L1",1.94896352612463e-24,1.65724955735488,0.298,0.076,6.73288939735014e-20,"C_1","CD163L1"
"SLC9A9",2.30467199932291e-23,1.16386749188188,0.499,0.237,7.96171988886093e-19,"C_1","SLC9A9"
"CSGALNACT1",2.1361049639177e-22,1.60542823843625,0.234,0.047,7.37938820835007e-18,"C_1","CSGALNACT1"
"PDGFC",1.81058922708132e-20,1.11937971598699,0.515,0.286,6.25486154387513e-16,"C_1","PDGFC"
"STAB1",1.05373954194732e-19,1.25807781844863,0.388,0.162,3.6402486216112e-15,"C_1","STAB1"
"ATP8B4",2.40988477579809e-18,1.14312366971865,0.424,0.2,8.3251879464721e-14,"C_1","ATP8B4"
"SLCO2B1",3.94216711912484e-18,0.771028070057253,0.667,0.476,1.36186105297287e-13,"C_1","SLCO2B1"
"CD163",6.15005245751544e-18,0.734429870887306,0.667,0.463,2.12459712197329e-13,"C_1","CD163"
"FRMD4B",4.35292641716459e-17,0.835848174514842,0.59,0.377,1.50376196007368e-12,"C_1","FRMD4B"
"IGSF21",5.45299458805397e-17,1.50588407154753,0.163,0.028,1.88379151038913e-12,"C_1","IGSF21"
"MS4A6A",7.18036838678394e-17,0.96186528959221,0.482,0.26,2.48053006289838e-12,"C_1","MS4A6A"
"MRC1",7.9321312333795e-17,0.703574386985112,0.675,0.504,2.74023405588328e-12,"C_1","MRC1"
"ITPR2",8.32361805009384e-16,0.708933918663461,0.65,0.482,2.87547709158542e-11,"C_1","ITPR2"
"NAV2",1.58299156000011e-15,1.38555768175249,0.138,0.02,5.46860264317639e-11,"C_1","NAV2"
"RNF150",4.32064148879332e-15,1.27806553669621,0.143,0.024,1.49260880871854e-10,"C_1","RNF150"
"SCN9A",1.43256113720252e-14,1.2716383638111,0.113,0.013,4.94892570457984e-10,"C_1","SCN9A"
"AP2A2",2.20827340111532e-14,0.896802885697328,0.496,0.303,7.62870129149297e-10,"C_1","AP2A2"
"LDLRAD4",7.22422137583331e-14,0.77201929737399,0.579,0.402,2.49567951649538e-09,"C_1","LDLRAD4"
"FGF13",1.00667211238897e-13,1.25246060851887,0.127,0.02,3.47764947945892e-09,"C_1","FGF13"
"NPAS3",2.38599417922818e-13,1.25100555336747,0.124,0.02,8.24265549156167e-09,"C_1","NPAS3"
"KHDRBS2",2.73336773785029e-13,1.18498012060853,0.218,0.071,9.44269218717761e-09,"C_1","KHDRBS2"
"PLTP",4.99124208650093e-13,1.17036372816954,0.198,0.061,1.72427449120261e-08,"C_1","PLTP"
"PRKN",1.02654115444767e-12,1.14911769334297,0.262,0.106,3.54628907215493e-08,"C_1","PRKN"
"ITGA9",1.6980813570609e-12,1.14468542437549,0.187,0.056,5.86619185610259e-08,"C_1","ITGA9"
"CR1",2.64047968101747e-12,1.14347844331881,0.231,0.087,9.12180110604296e-08,"C_1","CR1"
"AOAH",4.28999052764036e-12,0.896743976644049,0.424,0.251,1.48202012767864e-07,"C_1","AOAH"
"MS4A4E",5.11635733364427e-12,0.986582636838736,0.267,0.111,1.76749680448075e-07,"C_1","MS4A4E"
"MEF2C",9.91990147271112e-12,0.965444405565401,0.375,0.212,3.42692916276278e-07,"C_1","MEF2C"
"MTSS1",9.98502968751697e-12,0.841689588434423,0.449,0.275,3.44942835584961e-07,"C_1","MTSS1"
"MAF",2.78871736718853e-11,1.12049112331006,0.275,0.128,9.6339030166895e-07,"C_1","MAF"
"AL162414.1",4.69860697609367e-11,1.09822844401859,0.209,0.078,1.62318076596132e-06,"C_1","AL162414.1"
"FKBP5",1.6906432066393e-10,0.518673765671382,0.675,0.543,5.84049602165612e-06,"C_1","FKBP5"
"DIRC3",7.56673505678131e-10,0.921223536014826,0.336,0.188,2.61400429271567e-05,"C_1","DIRC3"
"TSIX",9.19480979277585e-10,1.00566888194946,0.278,0.14,3.17643899101234e-05,"C_1","TSIX"
"FCHSD2",9.87180998285546e-10,0.635011982619773,0.537,0.405,3.41031547667725e-05,"C_1","FCHSD2"
"STON2",9.89003625342677e-10,1.02091312538228,0.124,0.032,3.41661192410881e-05,"C_1","STON2"
"ELMO1",1.56408093852918e-09,0.523260722008768,0.634,0.522,5.40327401024292e-05,"C_1","ELMO1"
"NCKAP5",3.26689655620573e-09,1.15079363806393,0.102,0.023,0.000112858208430683,"C_1","NCKAP5"
"TBC1D14",4.38050537763796e-09,0.656479666736319,0.468,0.318,0.000151328938775881,"C_1","TBC1D14"
"PALD1",6.04519914579726e-09,1.02276680295559,0.11,0.028,0.000208837449690712,"C_1","PALD1"
"PDK4",7.44062811190677e-09,0.858783082837373,0.347,0.21,0.000257043938753931,"C_1","PDK4"
"NFATC2",1.52399911699686e-08,0.999507228258982,0.105,0.027,0.000526480734957737,"C_1","NFATC2"
"MVB12B",1.94038842542951e-08,0.956627362397969,0.223,0.106,0.000670326585448878,"C_1","MVB12B"
"TTN",3.27432624893691e-08,1.1465866698496,0.132,0.045,0.00113114874595774,"C_1","TTN"
"RGL1",4.1389181936961e-08,0.626711343513381,0.482,0.347,0.00142983067919426,"C_1","RGL1"
"LYVE1",6.80942461414702e-08,0.814189960852688,0.102,0.027,0.00235238382720323,"C_1","LYVE1"
"NRP1",8.79381348030422e-08,0.778657662252299,0.331,0.2,0.0030379108049059,"C_1","NRP1"
"CMKLR1",1.08832709624806e-07,0.843722768037632,0.22,0.107,0.00375973478669853,"C_1","CMKLR1"
"INPP5D",1.16406851422641e-07,0.67053153732253,0.377,0.234,0.00402139108924657,"C_1","INPP5D"
"STARD13",1.31359492086958e-07,0.682162199830295,0.446,0.321,0.00453794501363605,"C_1","STARD13"
"SLC22A23",1.69490749947188e-07,0.840593877158118,0.107,0.032,0.00585522744767554,"C_1","SLC22A23"
"FAM20A",1.88195718995224e-07,0.846434253252412,0.248,0.131,0.00650140930840902,"C_1","FAM20A"
"MERTK",1.91446638143621e-07,0.506590613317902,0.554,0.425,0.00661371556130953,"C_1","MERTK"
"MS4A4A",2.23135250157694e-07,0.772628673565735,0.314,0.191,0.00770843035194769,"C_1","MS4A4A"
"ARHGAP18",3.45282868555279e-07,0.512869932442888,0.537,0.421,0.0119281419771107,"C_1","ARHGAP18"
"SELENOP",5.82119084806762e-07,0.73124637693169,0.204,0.097,0.0201098859037344,"C_1","SELENOP"
"CARMIL1",7.73974312858408e-07,0.816138778692457,0.275,0.164,0.0267377166120066,"C_1","CARMIL1"
"CCND3",1.03238602454322e-06,0.748836105236436,0.264,0.15,0.0356648076038699,"C_1","CCND3"
"CPED1",1.05638277137486e-06,0.963144975027739,0.171,0.08,0.0364937992199161,"C_1","CPED1"
"FCGRT",1.42427065978435e-06,0.810928260669258,0.19,0.093,0.04920285421291,"C_1","FCGRT"
"HRH1",1.44498566540712e-06,0.80241123394977,0.113,0.039,0.0499184747971544,"C_1","HRH1"
"SLC11A1",4.60653294235686e-27,1.04382124129139,0.687,0.382,1.5913728702666e-22,"C_2","SLC11A1"
"SEMA3C",3.98645268837585e-25,1.64417632301958,0.316,0.082,1.37715994572632e-20,"C_2","SEMA3C"
"FNIP2",2.11365548506294e-21,1.15868482312418,0.526,0.258,7.30183423869844e-17,"C_2","FNIP2"
"PPARG",1.89917761263587e-17,1.17419475980991,0.447,0.217,6.56089898061187e-13,"C_2","PPARG"
"PLPP3",7.59624849757553e-16,1.29835973493877,0.271,0.089,2.62420000597244e-11,"C_2","PLPP3"
"CTSD",1.8561169249577e-14,1.09578125452684,0.416,0.211,6.41214152895885e-10,"C_2","CTSD"
"ITGAX",1.00214119615702e-13,0.967750134858759,0.454,0.249,3.46199697624404e-09,"C_2","ITGAX"
"CYP27A1",1.68224194513865e-13,1.20210619454532,0.275,0.106,5.81147302367599e-09,"C_2","CYP27A1"
"SNTB1",2.74442566961702e-13,0.943929863337593,0.478,0.29,9.48089291825897e-09,"C_2","SNTB1"
"FTL",2.24554105028128e-12,1.01664139036232,0.405,0.223,7.75744611230172e-08,"C_2","FTL"
"MTUS1",5.08994568755344e-11,1.17244284388132,0.124,0.027,1.75837263722221e-06,"C_2","MTUS1"
"FLRT2",9.77897360011899e-11,1.28930650428695,0.124,0.028,3.37824421989711e-06,"C_2","FLRT2"
"FLNA",2.93791068650986e-10,1.1459224936975,0.144,0.04,1.0149306257617e-05,"C_2","FLNA"
"ASPH",4.53004676933716e-10,0.880820837561732,0.44,0.282,1.56494995693522e-05,"C_2","ASPH"
"LGALS3",3.73401974842978e-09,1.11611744070882,0.165,0.057,0.000128995446229255,"C_2","LGALS3"
"TPST1",4.44058162306167e-09,0.849780186891889,0.364,0.209,0.000153404332750288,"C_2","TPST1"
"SDC2",1.48240488824031e-08,0.868502983244748,0.34,0.195,0.000512111592691498,"C_2","SDC2"
"LUCAT1",4.13125619682241e-08,1.01556842144,0.203,0.089,0.00142718376575427,"C_2","LUCAT1"
"TFPI",4.93367741481438e-08,1.01821623514333,0.247,0.124,0.00170438819972178,"C_2","TFPI"
"MDM2",5.01394215541777e-08,1.07932935821795,0.285,0.161,0.00173211645701062,"C_2","MDM2"
"TBC1D2",9.03533244944186e-08,0.881014157336051,0.275,0.147,0.00312134594798418,"C_2","TBC1D2"
"ANKRD28",1.16628075196343e-07,0.981696460242722,0.213,0.099,0.00402903348573288,"C_2","ANKRD28"
"SLC16A6",2.05667568037755e-07,1.04900208399173,0.141,0.051,0.00710499180543228,"C_2","SLC16A6"
"TPRG1",4.91861395814469e-07,0.794717765657444,0.347,0.221,0.0169918437798066,"C_2","TPRG1"
"AC119674.1",5.74710325721033e-07,1.02748582376543,0.134,0.05,0.0198539429123588,"C_2","AC119674.1"
"PLIN2",5.93662515861666e-07,0.884957455731811,0.268,0.152,0.0205086652729571,"C_2","PLIN2"
