"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"HSPA1A",1.93737029375757,8.60471271770634,10.9578874639115,5.18929704288395e-23,8.53120433850121e-20,41.5471636864998,"HSPA1A",19.0689896557439,"up"
"S100A9",1.6436899641843,7.48280516474093,9.67011797322971,5.95200669068949e-19,4.89254949974676e-16,32.4110467554882,"S100A9",15.3104647717286,"up"
"NR4A1",-0.580607002245714,6.72013074392069,-9.5177402384107,1.74342753689929e-18,9.55398290220809e-16,31.3612993026745,"NR4A1",15.0198155402647,"down"
"IFITM2",0.98502885535032,7.29025376593719,9.37265423629438,4.81684839451678e-18,1.9797246901464e-15,30.3688189116578,"IFITM2",14.7033952005786,"up"
"SERPING1",1.38490606312198,7.33992843078174,9.00824495788012,5.99121926055904e-17,1.96991289287181e-14,27.9079394138423,"SERPING1",13.7055529773823,"up"
"PLA2G4F",-0.431427099511387,5.80168366793377,-8.93451919730382,9.91955307579978e-17,2.71795754276914e-14,27.4158741417467,"PLA2G4F",13.5657573316672,"no_sig"
"HLA-F",1.55382844584718,7.76286267657297,8.70531257183788,4.69470824373188e-16,1.10258576467074e-13,25.8992209280908,"HLA-F",12.9575876189353,"up"
"SOD2",1.96831492706733,7.81638211137584,8.6697428403508,5.96472710719785e-16,1.18900672867151e-13,25.6656833851089,"SOD2",12.9248156876718,"up"
"HLA-A",1.74491896513064,8.74199344980929,8.64888317372597,6.86230273115173e-16,1.18900672867151e-13,25.5289596534804,"HLA-A",12.9248156876718,"up"
"GADD45G",-0.312122713225318,6.01429634152717,-8.64106007762583,7.23240102598244e-16,1.18900672867151e-13,25.4777281558931,"GADD45G",12.9248156876718,"no_sig"
"C1R",1.11240363444271,6.35857194087097,8.48257423794445,2.08521298761264e-15,3.11644559239561e-13,24.4451570627522,"C1R",12.506340450716,"up"
"HLA-E",1.34920071883268,7.77900637467236,8.3076051913552,6.63232052116827e-15,9.08627911400053e-13,23.3172421678528,"HLA-E",12.0416139265784,"up"
"GNAS",1.10581940823958,7.50441821704438,8.29264964712043,7.31745310547367e-15,9.25376377338363e-13,23.2214341367985,"GNAS",12.0336815912015,"up"
"CD44",0.987393844204815,6.84922415371239,8.27399373684828,8.27104215331644e-15,9.71256664289445e-13,23.1020554326215,"CD44",12.0126659882639,"up"
"IFITM1",1.08074048330175,6.71996617486007,8.22863305355026,1.11338238489821e-14,1.22026709384844e-12,22.8124200915123,"IFITM1",11.9135450999082,"up"
"IFI16",0.684184288275367,5.67590011946945,8.10486624359589,2.49394706981603e-14,2.49549750422433e-12,22.026723126595,"IFI16",11.6028428601405,"up"
"NUP107",-0.216046917160904,6.13773816840316,-8.09960754331729,2.58050228539012e-14,2.49549750422433e-12,21.9934898405734,"NUP107",11.6028428601405,"no_sig"
"KLF4",-0.430557796573321,5.99244379548406,-8.03288592782478,3.97410116724635e-14,3.629679066085e-12,21.5729065704123,"KLF4",11.4401317733083,"no_sig"
"HMGB1",-0.284401136294782,6.35212226688428,-8.01450087513748,4.47468674552995e-14,3.87178158402697e-12,21.4573679924888,"HMGB1",11.4120891502085,"no_sig"
"LDHA",-0.344611436061738,5.62021824375488,-7.96726333129662,6.06516678070163e-14,4.98556709373674e-12,21.1612141397079,"LDHA",11.3022854348101,"no_sig"
"HLA-B",1.81479519505863,9.18252136196507,7.92604867895107,7.90177501917428e-14,6.1545279563805e-12,20.9036550229569,"HLA-B",11.21080525123,"up"
"OAZ1",0.945433939491097,7.34595705359647,7.91958338736414,8.23598631632426e-14,6.1545279563805e-12,20.863323041621,"OAZ1",11.21080525123,"up"
"DDIT4",0.962562092759599,6.78288565972542,7.85404673820776,1.25203150604047e-13,8.94930346056753e-12,20.4555851111756,"DDIT4",11.0482107652432,"up"
"BST2",0.707055423303001,6.09701562810829,7.81237947498597,1.63236488753075e-13,1.11816994795856e-11,20.1973951648716,"BST2",10.9514921840601,"up"
"IFI27",1.31735840916265,7.09331656082412,7.7481521918515,2.45304316097406e-13,1.61312118265654e-11,19.8010198448662,"IFI27",10.7923330058397,"up"
"IL10RB",0.305542809071357,6.71684516117438,7.72927922250205,2.76390559255433e-13,1.74763876698435e-11,19.6849198407306,"IL10RB",10.7575483301214,"no_sig"
"FANCF",-0.294989379071781,5.69134809775339,-7.71155235944128,3.09120556731499e-13,1.88220072320957e-11,19.5760258018433,"FANCF",10.7253340640469,"no_sig"
"PGC",-0.851563068938485,7.17761829531323,-7.69840995743383,3.35831048614788e-13,1.97180801400968e-11,19.4953911174005,"PGC",10.7051353726175,"down"
"TMEM163",-0.242115039748922,6.2870444757971,-7.68498472999147,3.65469866480426e-13,2.07183607066835e-11,19.4131071693201,"TMEM163",10.6836446101337,"no_sig"
"C1S",0.810702210439618,5.94121318877287,7.61531183974012,5.66072632226511e-13,3.10207802460128e-11,18.9874826649466,"C1S",10.5083472828514,"up"
"LY6E",1.28543339258382,7.0059373213656,7.50491071317547,1.12689797003967e-12,5.97619439595233e-11,18.3179343764237,"LY6E",10.2235752840648,"up"
"B2M",2.0175176648806,9.39650553562824,7.47052332320615,1.39473144481127e-12,7.16543279771792e-11,18.1106242190651,"B2M",10.1447575727497,"up"
"NFATC1",-0.251271362583492,5.96892295902596,-7.45250216006151,1.55926733887266e-12,7.76798637911108e-11,18.002217907833,"NFATC1",10.1096915446194,"no_sig"
