"","C_1","C_2","C_3","C_4","C_5","C_6"
"MT-ND1",0.231297049586777,0.300897144329897,0.205432766497462,1.83146648924731,0.569228556962025,1.40658024242424
"MT-ND4",0.329016198347107,0.660310189690722,0.406537649746193,2.6639996827957,0.777941708860759,1.46578881818182
"MT-CYB",0.238227961432507,0.299283560137457,0.134386416243655,1.75342487634409,0.542693139240506,1.34050221212121
"MT-ATP8",0.192374652892562,0.241697766323024,0.100858629441624,1.23616382795699,0.221698329113924,0.433765848484849
"MT-ND3",0.586918834710744,0.616542810996564,0.525844345177665,2.9028886344086,0.779377848101266,1.96618639393939
"MT-ND5",0.228334804407714,0.402755467353952,0.125502664974619,1.63429724731183,0.344462506329114,1.11634378787879
"MT-ND2",0.319205289256198,0.527606914089347,0.339657010152284,1.96967562365591,0.465962544303798,1.57816006060606
"MT-ATP6",0.496659537190083,0.748539594501718,0.443872756345178,2.76538243548387,1.00185181012658,1.49559603030303
"MT-CO3",0.582996834710744,0.773146054982818,0.342607045685279,2.7347715,0.847773329113924,1.95953409090909
"MT-ND6",0.21430179338843,0.330781594501718,0.223954411167513,1.34334100537634,0.60892382278481,0.722972272727273
"MT-ND4L",0.17562176584022,0.266134797938144,0.156623294416244,0.954142010752688,0.328275772151899,0.626834060606061
"MT-CO2",0.680547041322314,1.3395879862543,0.755080604060914,3.23587821505376,1.51485532911392,2.43138703030303
"MT-CO1",0.728609961432507,1.52699816151203,0.694794659898477,3.00887181182796,1.66646802531646,2.31428633333333
