"","C_1","C_2","C_3","C_4","C_5","C_6"
"B2M",0.20569564738292,0.404019859793814,0.494277878172589,0.824000564516129,0.542335012658228,0.187391818181818
"APOE",0.168406462809917,0.580906350515464,0.523299964467005,0.891078338709678,0.346512835443038,0.0575426363636364
"LNCAROD",0.434527327823692,0.384753319587629,0.152099426395939,0.833247704301075,0.239524,0.0688387272727273
"C1QA",0.224390812208599,0.0997298176841053,0.211197040837158,0.566447863455948,0.0179016672334687,0.309833563254096
"TMSB4X",0.0746418925619835,0.153975048109966,0.0747703807106599,0.347380005376344,0.0974386582278481,0.192052212121212
"NUPR1",0.0598423195592287,0.0760115195876289,0.0599113654822335,0.311116129032258,0,0.165610757575758
"TMEM51",0.356061094549742,0.344315162180966,0.319403707141553,0.737180528969658,0.325279006521117,0.285374091021088
"KCTD12",0.136673619834711,0.0863965223367697,0.0978311269035533,0.384580865591398,0.182562227848101,0
"RNASE1",0.0577471101928375,0.037775852233677,0.0254212994923858,0.229082532258065,0.0276699620253165,0
"GRN",0.223368694214876,0.363502350515464,0.284514045685279,0.685795559139785,0.246496772151899,0.510545606060606
"ZBTB1",0.262206438016529,0.192283454295533,0.30706321319797,0.633786526881721,0.196939189873418,0.337721848484848
"SSBP3",0.127525822262054,0.175690991592525,0.0891139607982365,0.400137798461434,0.349862630838014,0.142280301563719
"HLA-DRA",0.322114308539945,0.259609388316151,0.502133482233502,0.743136532258065,0.278202202531646,0.341613909090909
"CD74",0.731048922865014,0.432302195876289,0.698672228426396,1.05026136021505,0.334772759493671,0.571854939393939
"FTL",0.286124027548209,1.20050494158076,0.409344649746193,1.15431317204301,0.999123443037975,0.709243212121212
"CEBPD",0.159908013774105,0.122629312714777,0.133116888324873,0.389841258064516,0.0965949873417722,0
"EPSTI1",0.808204157024794,0.346208316838488,0.587017563451777,1.01788706989247,0.343794088607595,0.585042454545455
"NLRC5",0.230640603305785,0.161142890034364,0.25049938071066,0.531693553763441,0.148480050632911,0.130398606060606
"ORMDL1",0.252074280991736,0.106465107216495,0.140014319796954,0.419950392473118,0.116680240506329,0.124259454545455
"SBNO2",0.121758013774105,0.120490079037801,0.12379585786802,0.344850204301075,0.211652746835443,0.302899121212121
"NUDCD3",0.140784829201102,0.263814907216495,0.100575406091371,0.434911801075269,0.21045953164557,0.196487696969697
"CORO2A",0.0464734573002755,0.089172618556701,0.0443793045685279,0.236807876344086,0.0511561518987342,0.214941939393939
"QSOX1",0.0512611955922865,0.0815533848797251,0.100905284263959,0.237090080645161,0.0682135949367089,0
"ST8SIA4",0.714221016528926,0.327679494845361,0.518003736040609,0.931495258064516,0.198146772151899,0.0601942121212121
"MAFB",0.443195184573003,0.25336335395189,0.231706659898477,0.661798661290322,0.15651046835443,0
"CTSS",0.630552463804256,0.643241499986499,0.657019272932963,1.1031355205923,0.456569204564005,0.384596233424328
"BTG1",0.109431674931129,0.137119402061856,0.310012888324873,0.405936543010753,0.173253075949367,0.0601942121212121
"CLIC4",0.24038246230117,0.287467930917675,0.100562321169233,0.514238484153576,0.228908002274329,0.361177083184399
"CD14",0.150442917355372,0.0681905120274914,0.0577950710659898,0.270045870967742,0,0.0820338484848485
"CARD8",0.437407666666666,0.282765055670103,0.322919091370558,0.674616935483871,0.266315075949367,0.116622333333333
"NFATC3",0.211996033057851,0.150225890034364,0.17802276142132,0.444490478494624,0.0784791392405063,0.470149272727273
"RAPGEF6",0.281813247933884,0.340403811683849,0.320305781725888,0.623271672043011,0.285229088607595,0.561532424242424
"INO80D",0.0904273581267218,0.188884931271478,0.0689242436548223,0.317627005376344,0.0604965316455696,0.223075333333333
"ZNF292",0.482683556473829,0.528319398625429,0.52599945177665,0.891786827956989,0.464949113924051,0.405262272727273
"PIK3AP1",0.431094517906336,0.369089326460481,0.333376228426396,0.744498849462366,0.15869746835443,0.217925121212121
